Type;Name;Schema;ParentName;ParentType;DataType;IsNullable
Table;SalesTaxRate;Sales;AdventureWorks2016_EXT;Database;NULL;
Table;PersonCreditCard;Sales;AdventureWorks2016_EXT;Database;NULL;
Table;PersonPhone;Person;AdventureWorks2016_EXT;Database;NULL;
Table;SalesTerritory;Sales;AdventureWorks2016_EXT;Database;NULL;
Table;SpecialOfferProduct_inmem;Sales;AdventureWorks2016_EXT;Database;NULL;
Table;Product;Production;AdventureWorks2016_EXT;Database;NULL;
Table;SalesOrderHeader_inmem;Sales;AdventureWorks2016_EXT;DATABASE;NULL;
Table;SalesTerritoryHistory;Sales;AdventureWorks2016_EXT;DATABASE;;
Table;ScrapReason;Production;AdventureWorks2016_EXT;Database;NULL;
Table;Shift;HumanResources;AdventureWorks2016_EXT;Database;NULL;
Table;ProductCategory;Production;AdventureWorks2016_EXT;Database;NULL;
Table;ShipMethod;Purchasing;AdventureWorks2016_EXT;Database;NULL;
Table;ProductCostHistory;Production;AdventureWorks2016_EXT;DATABASE;NULL;
Table;SalesOrderDetail_inmem;Sales;AdventureWorks2016_EXT;DATABASE;;
Table;ProductDescription;Production;AdventureWorks2016_EXT;Database;NULL;
Table;ShoppingCartItem;Sales;AdventureWorks2016_EXT;Database;NULL;
Table;ProductDocument;Production;AdventureWorks2016_EXT;Database;NULL;
Table;DatabaseLog;dbo;AdventureWorks2016_EXT;Database;NULL;
Table;ProductInventory;Production;AdventureWorks2016_EXT;Database;NULL;
Table;SpecialOffer;Sales;AdventureWorks2016_EXT;Database;NULL;
Table;ErrorLog;dbo;AdventureWorks2016_EXT;Database;NULL;
Table;SpecialOffer_ondisk;Sales;AdventureWorks2016_EXT;DATABASE;NULL;
Table;ProductListPriceHistory;Production;AdventureWorks2016_EXT;Database;;
Table;Address;Person;AdventureWorks2016_EXT;DATABASE;NULL;
database;AdventureWorks2016_EXT;;;;;
Table;SpecialOfferProduct;Sales;AdventureWorks2016_EXT;Database; ;
Table;ProductModel;Production;AdventureWorks2016_EXT;Database;NULL;
Table;AddressType;Person;AdventureWorks2016_EXT;Database;NULL;
Table;Product_ondisk;Production;AdventureWorks2016_EXT;Database;NULL;
Table;StateProvince;Person;AdventureWorks2016_EXT;Database;NULL;
Table;ProductModelIllustration;Production;AdventureWorks2016_EXT;Database;NULL;
